Project Name	User Email	Plate Name	Well	NCBITaxId	Sample Name	complex	cultivation	Concentration(ng/ul)	Volume(ul)			
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	A01	410658	1AVMT	avera	traditional	27.7	15			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	B01	410658	2AVNF	avera	traditional	33.6	15			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	C01	410658	3AVN	avera	traditional	15.6	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	D01	410658	4AVN	avera	traditional	42.3	15			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	E01	410658	5AVM	avera	traditional	24	15			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	F01	410658	6AVM	avera	traditional	20.8	15			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	G01	410658	7AVM	avera	traditional	8.67	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	H01	410658	8AVM	avera	traditional	5.84	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	A02	410658	9AVS	avera	traditional	16.2	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	B02	410658	10AVS	avera	traditional	7.3	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	C02	410658	11AVS	avera	traditional	7.03	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	D02	410658	12AVS	avera	traditional	2.86	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	E02	410658	13VNEUP	vaioivi	traditional	6.52	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	F02	410658	14VNEUP	vaioivi	plastic	7.75	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	G02	410658	1_3AVAT	avera	traditional	8.58	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	H02	410658	4_6AVAT	avera	traditional	4.26	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	A03	410658	11_13AVAT	avera	traditional	9.21	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	B03	410658	12_14AVAT	avera	traditional	2.6	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	C03	410658	15_17AVAT	avera	traditional	2.87	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	D03	410658	18_20	avera	traditional	3.58	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	E03	410658	15VMEU	vaioivi	plastic	2.68	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	F03	410658	16VNE	vaioivi	fallow	4.59	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	G03	410658	17VNEU	vaioivi	plastic	10.2	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	H03	410658	18VNEU	vaioivi	traditional	12.8	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	A04	410658	19VNE	vaioivi	plastic	8.61	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	B04	410658	20VNEU	vaioivi	traditional	9.4	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	C04	410658	21VNEU	vaioivi	fallow	7.82	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	D04	410658	22VNE	vaioivi	plastic	4.45	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	E04	410658	23VM	vaioivi	plastic	11	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	F04	410658	24VM	vaioivi	plastic	8.77	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	G04	410658	25VM	vaioivi	plastic	5.04	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	H04	410658	26VM	vaioivi	traditional	7.13	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	A05	410658	27VM	vaioivi	fallow	6.95	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	B05	410658	28VM	vaioivi	plastic	4.2	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	C05	410658	29VM	vaioivi	fallow	3.23	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	D05	410658	30VM	vaioivi	traditional	3.82	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	E05	410658	31VM	vaioivi	traditional	5.93	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	F05	410658	32VM	vaioivi	plastic	2.15	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	G05	410658	33VM	vaioivi	plastic	2.34	20			 
PuzeyRurutuSoil	jrpuzey@wm.edu	RurutuSoilNew	H05	410658	34VM	vaioivi	plastic	12.1	20			 
