samples,site,Sample,x_coord,y_coord,treatment_herb_level,growthRate,herbRate,Plant_ID,sums
A01,sky,A01,-8.573645944,-1.288990002,2,0.012894574,0.002131518,4,22.67688
B01,sky,B01,-10.12649756,-3.132737971,1,0.029801895,0.050847344,5,22.50103
C01,sky,C01,-1.028550143,-3.082950633,1,0.052416052,0.13523955,6,15.8643
D01,sky,D01,-3.005623753,-14.39966409,1,0.005839416,0.01205599,7,3.85006
E01,sky,E01,-2.657442153,-21.30490322,3,0.019907407,-0.054987338,8,5.23912
F01,sky,F01,-9.991251159,-10.94565212,3,0.061938534,-0.043439011,9,0.6716
G01,sky,G01,2.287500638,-11.79014168,1,0.080148768,0.27151233,10,17.00802
A02,sky,A02,,,2,0.033601718,0.037320363,12,0.63182
B02,sky,B02,,,1,0.021377271,0.07398957,17,24.71999
C02,sky,C02,28.82136209,19.60741909,3,0.00453159,-0.050521149,19,4.58301
D02,sky,D02,25.06179106,22.21722276,2,0.009565746,-0.014951231,20,7.70453
E02,sky,E02,16.21784418,40.69216113,2,0.012554113,0.03947124,21,1.34601
F02,sky,F02,24.83896859,29.19070653,1,0.031665994,0.041653903,22,16.07022
G02,sky,G02,11.0726311,24.78842221,2,0.018811881,-0.00011704,23,19.12751
A03,sky,A03,11.37221154,20.06277657,0,0.029984392,0.169704199,25,15.76498
B03,sky,B03,15.20988361,19.34265714,2,0.021159805,-0.006041876,26,1.82048
C03,sky,C03,12.66991456,14.81012332,0,0.030501089,0.034912432,30,9.37744
D03,sky,D03,14.75435192,1.479107953,0,0.017381017,0.053457934,33,7.77238
E03,sky,E03,26.73622453,14.52619424,2,0.008735255,-0.018420469,37,3.28056
F03,sky,F03,27.41741802,18.12917277,3,0.021637427,-0.05169788,38,5.77216
G03,sky,G03,25.18817814,18.6669079,3,0.024017957,-0.041595096,39,14.5231
A04,rv,A04,-20.61500166,-3.731515331,3,0.053443795,-0.019453176,41,9.78724
B04,rv,B04,-5.743852027,-7.853729298,2,0.039341444,-0.019687784,44,10.75654
C04,rv,C04,,,3,0.056769949,-0.063927986,49,1.61954
D04,rv,D04,-0.399432892,-3.618017878,2,0.066005177,0.08904211,50,7.00803
E04,rv,E04,-2.722192306,-2.461416066,1,,0.060685703,51,18.86672
F04,rv,F04,-10.05383962,-3.691125707,3,0.029278961,-0.083886667,52,9.2541
G04,rv,G04,-12.46823514,-2.014947288,2,0.040794758,-0.057469881,53,3.83655
A05,rv,A05,2.135804865,-1.551753066,0,0.04925776,0.267973685,57,11.96397
B05,rv,B05,11.03889004,-5.194507357,2,0.033246697,0.069718841,58,17.10174
D05,rv,D05,5.263285542,10.8730964,1,0.023219814,0.141974398,66,17.6079
E05,rv,E05,,,3,0.028555431,-0.052353549,67,13.96818
F05,rv,F05,,,1,0.041251778,0.182900256,68,3.42056
G05,rv,G05,,,3,0.05174453,-0.076681638,71,5.28132
A06,rv,A06,3.082422975,12.5778046,3,0.062000978,0.020411935,73,0.68272
B06,rv,B06,,,3,0.025464605,-0.065928724,74,20.79772
C06,rv,C06,,,3,0.027782872,-0.04305467,75,19.84834
D06,rv,D06,-7.087420026,14.46722425,2,0.035484323,0.091295915,79,17.59652
E06,rv,E06,-6.420058391,11.89845579,0,0.054362881,,80,0.49942
F06,mea,F06,-15.0746237,0.40264149,0,0.039236111,,83,16.50866
G06,mea,G06,-14.33895796,2.086716239,3,0.020465116,,84,2.2943
A07,mea,A07,-4.961756122,7.81847659,1,0.017279412,,89,15.9568
B07,mea,B07,-5.095017059,6.258250647,2,0.035645161,,90,17.27653
C07,mea,C07,-6.711790671,4.623241935,0,0.03439781,,91,20.33234
D07,mea,D07,-4.39469514,3.486940582,0,0.016935484,,92,2.92059
E07,mea,E07,-4.62713335,4.171607783,2,0.035808824,,93,4.4545
F07,mea,F07,1.226179827,9.238987122,0,0.057080925,,94,3.0043
G07,mea,G07,-3.440313473,14.94924223,3,0.025910931,,95,23.79993
A08,mea,A08,5.471790582,14.4806736,2,0.020583596,,100,7.87595
B08,mea,B08,6.16937844,15.16297034,0,0.050842697,,101,17.04895
C08,mea,C08,6.919229048,13.84755102,1,0.021100917,,102,2.39391
D08,mea,D08,7.071802789,11.49954805,3,0.005555556,,103,4.95835
E08,mea,E08,7.079172894,6.689761665,2,0.00625,,104,0.99657
F08,mea,F08,11.99575522,4.662483969,1,0.007220497,,105,4.48828
G08,mea,G08,10.06782961,1.207645203,0,0.008815789,,106,20.66805
A09,mea,A09,7.694141414,-1.008854747,1,0.006834532,,108,10.71274
B09,mea,B09,1.664210809,-3.304603211,2,0.017675159,,112,8.55107
C09,mea,C09,-10.28739733,-1.220167247,2,0.003937729,,113,8.24529
D09,mea,D09,-15.22804506,-9.764975351,3,0.005416667,,114,0.53778
E09,mea,E09,-9.067010767,-7.170977322,3,0.01451049,,117,3.96837
F09,mea,F09,-5.818896533,-10.5062145,3,0.013409091,,118,14.9772
G09,mea,G09,-9.377760814,-12.86483588,2,0.007909091,,119,9.72556
A10,rv,A10,-10.00227351,-10.06531791,0,0.034577546,0.163198297,122,15.06822
